,County,County Precinct,aapi_mail_turnout_share,aapi_adv_turnout_share,aapi_mail_support_share,aapi_adv_support_share,black_mail_turnout_share,black_adv_turnout_share,black_mail_support_share,black_adv_support_share,hispanic_mail_turnout_share,hispanic_adv_turnout_share,hispanic_mail_support_share,hispanic_adv_support_share,native_american_mail_turnout_share,native_american_adv_turnout_share,native_american_mail_support_share,native_american_adv_support_share,other_mail_turnout_share,other_adv_turnout_share,other_mail_support_share,other_adv_support_share,white_mail_turnout_share,white_adv_turnout_share,white_mail_support_share,white_adv_support_share
1049,Elbert,189,0.008072740232528176,0.004451572140683649,0.62,0.62,0.4333587441101848,0.39784319946647334,0.89,0.89,0.007279492590307903,0.007723466988256714,0.62,0.62,0.001224787625768072,0.0012146358326757469,0.62,0.62,0.05695037511707942,0.06024995195746076,0.5,0.5,0.49311386032413157,0.5285171736144497,0.5432122099283141,0.07116031879997017
1050,Elbert,190,0.004949332210843596,0.0026387346946845735,0.62,0.62,0.2215303774790358,0.19663206768504962,0.89,0.89,0.0019127136220009895,0.0019620850144385247,0.62,0.62,,,,,0.06110268090740341,0.06249957514513636,0.5,0.5,0.7105048957807162,0.7362675374606908,0.3068693213352386,0.08342967984996139
1051,Elbert,191,0.004432993913326566,0.0023464317753085777,0.62,0.62,0.1746089452816146,0.1538683235868327,0.89,0.89,0.0028552834615042516,0.002907895359222336,0.62,0.62,0.0007472990629584225,0.000711374175022497,0.62,0.62,0.05472815341774889,0.05557625378528794,0.5,0.5,0.7626273248628473,0.7845897213183262,0.17528938666297075,0.0207178536070083
1052,Elbert,192,,,,,0.065979317366677,0.05709407194626528,0.89,0.89,0.005477610432105336,0.005477988969737628,0.62,0.62,,,,,0.04874589267986204,0.04860903160529115,0.5,0.5,0.8797971795213556,0.888818907478706,0.4700053061783927,0.12901078523524362
1053,Elbert,193,0.007057606281406053,0.003780299740431353,0.62,0.62,0.2482039897671352,0.22133469919730417,0.89,0.89,0.007403146319653271,0.00762963726672383,0.62,0.62,,,,,0.028006288928825243,0.028780083683498745,0.5,0.5,0.7093289687029803,0.7384752801120419,0.2044446699875206,0.050133523057591285
1054,Elbert,196,,,,,0.14895242816648835,0.13052327766083366,0.89,0.89,0.009824137758245425,0.009949050583959113,0.62,0.62,0.0023374749557482717,0.0022126273401185162,0.62,0.62,0.06725088090191891,0.06791005814359473,0.5,0.5,0.7716350782175989,0.789404986271494,0.6222019527071748,0.14167957074185264
1055,Elbert,197,0.016071001568888583,0.008720836395628484,0.62,0.62,0.3014941038007658,0.27237419253454964,0.89,0.89,0.005670714039272598,0.005920681395118769,0.62,0.62,0.0010601197356679111,0.0010345773741395749,0.62,0.62,0.053144684775500155,0.055327711753453544,0.5,0.5,0.6225593760799049,0.65662200054711,0.7975405109122033,0.17781258898718325
1056,Elbert,199,0.0036401188467137693,0.0018847480366300982,0.62,0.62,0.022810262373982957,0.01966255516161697,0.89,0.89,0.004220269285151839,0.004204328558812995,0.62,0.62,0.0046022915715530225,0.004285531846030398,0.62,0.62,0.06981688187779612,0.06935309756238657,0.5,0.5,0.8949101760448023,0.9006097388345229,0.3360112956782907,0.17752296911216636
1057,Elbert,201,0.008567048171416194,0.004506766492744728,0.62,0.62,0.11857703632406023,0.10384997020396855,0.89,0.89,0.00560291304695016,0.005671089205968929,0.62,0.62,0.0009998334649386278,0.0009459199337278264,0.62,0.62,0.05273756995605073,0.053225731680540844,0.5,0.5,0.813515599036584,0.8318005224830493,0.6085390580584129,0.08226746091107069
1058,Elbert,202,0.0026198960146109067,0.0013803721023303186,0.62,0.62,0.1501000046643208,0.131663307849587,0.89,0.89,0.0010124822060627568,0.0010264038373342702,0.62,0.62,,,,,0.05371463582493018,0.054296574688277574,0.5,0.5,0.7925529812900753,0.8116333415224708,0.4255887131866316,0.1440195048846206
