county_code,county_precinct_id,race,registered_voters
17,2,black,605
17,2,hispanic,58
17,2,native_american,15
17,2,other,287
17,2,white,1731
17,3,aapi,1
17,3,black,333
17,3,hispanic,5
17,3,native_american,2
17,3,other,37
17,3,white,362
17,4,aapi,3
17,4,black,251
17,4,hispanic,5
17,4,native_american,1
17,4,other,36
17,4,white,162
17,5,aapi,2
17,5,black,343
17,5,hispanic,14
17,5,native_american,3
17,5,other,104
17,5,white,621
17,6,aapi,12
17,6,black,197
17,6,hispanic,17
17,6,native_american,2
17,6,other,65
17,6,white,206
17,7,aapi,3
17,7,black,261
17,7,hispanic,1
17,7,native_american,1
17,7,other,50
17,7,white,187
17,8,aapi,1
17,8,black,106
17,8,hispanic,2
17,8,native_american,1
17,8,other,23
17,8,white,153
17,9,aapi,2
17,9,black,412
17,9,hispanic,2
17,9,native_american,5
17,9,other,93
17,9,white,561
18,BCREC,aapi,23
18,BCREC,black,1964
18,BCREC,hispanic,68
18,BCREC,native_american,29
18,BCREC,other,599
18,BCREC,white,3016
18,JENK,aapi,7
18,JENK,black,700
18,JENK,hispanic,64
18,JENK,native_american,15
18,JENK,other,346
18,JENK,white,2458
18,ROCK,aapi,8
18,ROCK,black,684
18,ROCK,hispanic,18
18,ROCK,native_american,14
18,ROCK,other,227
18,ROCK,white,1194
18,STARK,aapi,8
18,STARK,black,113
18,STARK,hispanic,29
18,STARK,native_american,9
18,STARK,other,350
18,STARK,white,3052
18,TOWAG,aapi,10
18,TOWAG,black,505
18,TOWAG,hispanic,56
18,TOWAG,native_american,16
18,TOWAG,other,377
18,TOWAG,white,2778
19,1,black,388
19,1,hispanic,4
19,1,other,50
19,1,white,298
19,2,aapi,13
19,2,black,189
19,2,hispanic,8
19,2,native_american,1
19,2,other,25
19,2,white,374
19,3,aapi,4
19,3,black,433
19,3,hispanic,2
19,3,other,26
19,3,white,96
19,4,aapi,1
19,4,black,380
19,4,hispanic,2
19,4,native_american,3
19,4,other,20
19,4,white,215
19,5,aapi,1
19,5,black,410
19,5,hispanic,1
19,5,other,32
19,5,white,132
20,1,aapi,2
20,1,black,152
20,1,hispanic,6
20,1,native_american,4
20,1,other,165
20,1,white,745
20,10,aapi,23
20,10,black,551
20,10,hispanic,155
20,10,native_american,24
