County,Precinct,Race,Party,Index,Baseline,Perdue,Ossoff
CHATHAM,2-11C,1.139954,1.873491,2.0767,79.69697,18.22633,81.77367
CHATHAM,2-12C,0.280903,0.656254,0.60903,86.75325,12.63772,87.36228
CHATHAM,3-01C,0.066515,3.430314,1.781672,62.72727,35.49106,64.50894
CHATHAM,3-02C,0.338305,3.047814,1.862212,60.61224,37.52554,62.47446
CHATHAM,3-03C,0.531121,1.563394,1.312819,86.40351,12.28367,87.71633
CHATHAM,3-04C,0,0.709245,0.354623,92.99611,6.649269,93.35073
CHATHAM,3-05C,1.114276,2.277283,2.252918,75,22.74708,77.25292
CHATHAM,3-08C,1.251074,2.672285,2.587217,71.98795,25.42483,74.57517
CHATHAM,3-09C,0.57759,3.547328,2.351254,48.32215,49.3266,50.6734
CHATHAM,3-10C,0.324559,1.388888,1.019003,87.71331,11.26769,88.73231
CHATHAM,3-11C,1.108316,1.748361,1.982496,79.93921,18.07829,81.92171
CHATHAM,3-12C,1.424626,3.267564,3.058408,52.74151,44.20008,55.79992
CHATHAM,3-13C,2.142531,3.201687,3.743375,60.56572,35.6909,64.3091
CHATHAM,3-14C,1.590761,1.835372,2.508447,75.03949,22.45206,77.54794
CHATHAM,3-15C,1.918512,3.545749,3.691386,49.80392,46.50469,53.49531
CHATHAM,4-02C,0.597306,3.620358,2.407485,32.77202,64.82049,35.17951
CHATHAM,4-04C,0.100776,3.595773,1.898663,28.23034,69.871,30.129
CHATHAM,4-05C,0.063067,3.609335,1.867734,31.72205,66.41021,33.58979
CHATHAM,4-06C,0.122553,3.549327,1.897216,24.6238,73.47898,26.52102
CHATHAM,4-07C,0.108724,3.619985,1.918716,28.18004,69.90124,30.09876
CHATHAM,4-08C,0,3.300262,1.650131,24,74.34987,25.65013
CHATHAM,4-10C,0.017647,3.617212,1.826253,38.98305,59.1907,40.8093
CHATHAM,4-11C,0,3.635656,1.817828,40.50179,57.68038,42.31962
CHATHAM,4-12C,0,3.381201,1.690601,24.50658,73.80282,26.19718
CHATHAM,4-13C,0,3.424198,1.712099,29.91329,68.37461,31.62539
CHATHAM,4-14C,0,3.598714,1.799357,29.7593,68.44134,31.55866
CHATHAM,4-15C,0,3.451578,1.725789,30.21739,68.05682,31.94318
CHATHAM,5-01C,1.132553,2.568028,2.416567,77.67857,19.90486,80.09514
CHATHAM,5-02C,0,0.706532,0.353266,91.47287,8.173866,91.82613
CHATHAM,5-03C,0,0.307144,0.153572,95.34884,4.497591,95.50241
CHATHAM,5-05C,0,0.143667,0.071834,96.93878,2.989391,97.01061
CHATHAM,5-06C,0.452215,1.095694,1.000062,86.82635,12.17359,87.82641
CHATHAM,5-07C,0.911904,2.818958,2.321383,79.3765,18.30212,81.69788
CHATHAM,5-08C,1.482277,2.542072,2.753313,71.81208,25.43461,74.56539
CHATHAM,5-10C,0,0.407023,0.203511,93.62606,6.170426,93.82957
CHATHAM,5-11C,0.904604,2.464491,2.13685,80.68027,17.18288,82.81712
CHATHAM,6-01C,1.288786,3.050818,2.814195,69.27835,27.90745,72.09255
CHATHAM,6-02C,1.327467,3.623304,3.139119,42.25146,54.60942,45.39058
CHATHAM,6-03C,1.703787,3.107514,3.257544,58.00493,38.73753,61.26247
CHATHAM,6-05C,1.659397,3.223857,3.271325,64.45783,32.27084,67.72916
CHATHAM,6-06C,2.039124,3.632495,3.855372,47.16495,48.97968,51.02032
CHATHAM,6-08C,1.41617,2.596037,2.714189,72.57463,24.71118,75.28882
CHATHAM,6-09C,1.405521,3.44814,3.129591,56.78756,40.08284,59.91716
CHATHAM,6-10C,1.706209,3.484551,3.448485,49.09774,47.45377,52.54623
CHATHAM,6-11C,1.467804,2.629685,2.782646,68.70229,28.51506,71.48494
CHATHAM,7-01C,2.282157,3.629349,4.096832,43.73089,52.17228,47.82772
CHATHAM,7-03C,0.917122,3.213946,2.524095,31.93717,65.53873,34.46127
CHATHAM,7-04C,1.073694,1.931106,2.039247,79.4814,18.47935,81.52065
CHATHAM,7-05C,1.944176,3.482699,3.685525,59.10543,37.20904,62.79096
CHATHAM,7-06C,1.859222,3.586271,3.652358,45.95822,50.38942,49.61058
CHATHAM,7-07C,1.41434,3.555971,3.192326,32.99419,63.81349,36.18651
CHATHAM,7-08C,0.554123,2.876149,1.992198,16.83938,81.16842,18.83158
CHATHAM,7-09C,1.8335,3.366561,3.51678,54.49275,41.99047,58.00953
CHATHAM,7-10C,1.579865,3.028195,3.093962,64.49216,32.41388,67.58612
CHATHAM,7-11C,1.391104,2.842522,2.812365,62.4033,34.78433,65.21567
CHATHAM,7-12C,1.918673,3.035428,3.436387,55.96774,40.59587,59.40413
CHATHAM,7-13C,0.860525,3.633352,2.677201,28.16616,69.15664,30.84336
CHATHAM,7-14C,1.646436,2.849276,3.071074,66.6812,30.24772,69.75228
CHATHAM,7-15C,1.479913,3.021949,2.990887,68.17473,28.83439,71.16561
CHATHAM,7-16C,1.470104,3.632299,3.286253,41.62509,55.08866,44.91134
CHATHAM,8-01C,0.743978,1.709656,1.598806,79.41176,18.98943,81.01057
CHATHAM,8-02C,0.320856,1.612896,1.127304,85.28037,13.59232,86.40768
CHATHAM,8-03C,1.216325,3.632765,3.032707,31.75676,65.21054,34.78946
CHATHAM,8-05C,0,0.411659,0.205829,96.77419,3.019977,96.98002
CHATHAM,8-06C,0,0.293502,0.146751,97.38562,2.467628,97.53237
CHATHAM,8-07C,0,0.906864,0.453432,95.41284,4.133724,95.86628
CHATHAM,8-08C,0,0.146583,0.073292,97.04797,2.878738,97.12126
CHATHAM,8-09C,0,0.103464,0.051732,97.48744,2.460831,97.53917
CHATHAM,8-10C,0,0.033694,0.016847,97.82609,2.157066,97.84293
CHATHAM,8-11C,0,0.055184,0.027592,97.81931,2.153093,97.84691
CHATHAM,8-12C,1.020892,1.77428,1.908032,79.10448,18.98749,81.01251
CHATHAM,8-13C,1.822977,3.250897,3.448425,27.73723,68.81435,31.18565
CHATHAM,8-15C,0,1.021217,0.510608,91.19497,8.294423,91.70558
CHATHAM,8-16C,1.571424,3.502804,3.322826,48.51577,48.1614,51.8386
CHATTAHOOCHEE,1,1.594722,3.419766,3.304605,42.80206,53.89334,46.10666
CHATTOOGA,870,0,1.913434,0.956717,13.61897,85.42431,14.57569
CHATTOOGA,925,1.156361,2.640231,2.476476,20.42116,77.10237,22.89763
CHATTOOGA,927,0,1.254852,0.627426,7.692308,91.68027,8.319733
CHATTOOGA,940,0.518297,2.403025,1.71981,14.33333,83.94686,16.05314
